opcode,meas,index,voice,loc,eloc,oloc,tick,sec,dur,rval,dots,sci_pitch,dmark,dlevel,status,d0,d1,bar,section,bpm,grace,tie,onset,pedal,dyn,even,tempo,player_id,piano_id,src,seg_label,spirio_label,uid
nof,131,7118,1,7118,3388,,1177,623.9449999999999,,,,,,,144,37,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7118
non,131,7119,1,7119,3388,2378,1203,623.9449999999999,0.104631696428571,32.0,0,E5,p-,10,144,76,10,,,,,,o,,,,,1,1,cut_30,gutim_26,,7119
nof,131,7120,1,7120,3389,,1203,624.05,,,,,,,144,76,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7120
non,131,7121,1,7121,3389,2379,1228,624.05,0.163225446428571,32.0,1,G6,p-,10,144,91,10,,,,,,o,,,,,1,1,cut_30,gutim_26,,7121
nof,131,7122,1,7122,3390,,1228,624.213,,,,,,,144,91,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7122
non,131,7123,1,7123,3390,2380,1267,624.213,0.159040178571429,32.0,1,E3,p+,12,144,52,12,,,,,,o,,,,,1,1,cut_30,gutim_26,,7123
nof,131,7124,1,7124,3391,,1267,624.3720000000001,,,,,,,144,52,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7124
non,131,7125,1,7125,3391,2381,1305,624.3720000000001,0.163225446428571,32.0,1,G#2,mp-,13,144,44,13,,,,,,o,,,,,1,1,cut_30,gutim_26,,7125
nof,131,7126,1,7126,3392,,1305,624.5350000000001,,,,,,,144,44,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7126
non,131,7127,1,7127,3392,2382,1344,624.5350000000001,0.104631696428571,32.0,0,C6,mp,14,144,84,14,,,,,,o,,,,,1,1,cut_30,gutim_26,,7127
nof,131,7128,1,7128,3393,,1344,624.6399999999996,,,,,,,144,84,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7128
non,131,7129,1,7129,3393,2383,1369,624.6399999999996,0.163225446428571,32.0,1,G7,mp+,15,144,103,15,,,,,,o,,,,,1,1,cut_30,gutim_26,,7129
nof,131,7130,1,7130,3394,,1369,624.8029999999997,,,,,,,144,103,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7130
non,131,7131,1,7131,3394,2384,1408,624.8029999999997,0.159040178571429,32.0,1,E3,mf-,16,144,52,16,,,,,,o,,,,,1,1,cut_30,gutim_26,,7131
